,TP,FP,TN,FN,A,B,C,D,E,F,G,H,Precision,Fitness,F1,N,P,T
140,408,75,425,92,1,1,0,0,0,1,0,0,0.84472049689441,0.816,0.8301119023397762,0.8357915437561455,0.8301119023397762,0.8330096785726177
141,326,178,322,174,0,1,0,0,1,1,1,0,0.6468253968253969,0.652,0.6494023904382471,0.6465863453815262,0.6494023904382471,0.6480030594069752
142,417,78,422,83,1,1,1,0,0,1,0,0,0.8424242424242424,0.834,0.8381909547738693,0.8398009950248755,0.8381909547738693,0.8390007723971405
143,430,72,428,70,0,1,1,0,1,1,1,0,0.8565737051792829,0.86,0.8582834331337326,0.8577154308617235,0.8582834331337326,0.8580000940050381
144,456,31,469,44,1,1,0,1,1,0,0,0,0.9363449691991786,0.912,0.9240121580547113,0.9259624876604147,0.9240121580547113,0.9250010278764138
145,500,1,499,0,0,1,0,1,0,0,1,0,0.998003992015968,1.0,0.9990009990009989,0.998998998998999,0.9990009990009989,0.999000000001001
146,431,68,432,69,1,1,1,1,1,0,0,0,0.8637274549098196,0.862,0.8628628628628627,0.8631368631368632,0.8628628628628627,0.8630000217485733
147,434,52,448,66,0,1,1,1,0,0,1,0,0.8930041152263375,0.868,0.8803245436105477,0.8836291913214991,0.8803245436105477,0.8820030948288087
148,369,117,383,131,1,2,1,1,0,1,0,0,0.7592592592592593,0.738,0.7484787018255579,0.7554240631163708,0.7484787018255579,0.7520160334404267
149,412,55,445,88,0,2,1,1,1,1,1,0,0.8822269807280514,0.824,0.8521199586349535,0.8615682478218781,0.8521199586349535,0.8570260131135783
150,413,66,434,87,1,2,0,1,0,1,0,0,0.8622129436325678,0.826,0.8437180796731358,0.8501469147894222,0.8437180796731358,0.8470121935343735
151,472,23,477,28,0,2,0,1,1,1,1,0,0.9535353535353536,0.944,0.9487437185929648,0.9492537313432836,0.9487437185929648,0.9490000685212072
152,430,50,450,70,1,1,0,0,1,0,1,1,0.8958333333333334,0.86,0.8775510204081632,0.8823529411764707,0.8775510204081632,0.8800065480737751
153,338,89,411,162,1,1,1,0,1,0,1,1,0.7915690866510539,0.676,0.7292340884573894,0.7660764212488349,0.7292340884573894,0.7494506422321344
154,393,107,393,107,1,2,1,0,0,1,1,1,0.786,0.786,0.786,0.786,0.786,0.786
155,418,87,413,82,1,2,0,0,0,1,1,1,0.8277227722772277,0.836,0.8318407960199004,0.8301507537688443,0.8318407960199004,0.8310008592573418
156,321,171,329,179,0,2,0,0,1,1,0,0,0.6524390243902439,0.642,0.6471774193548387,0.6527777777777777,0.6471774193548387,0.6500120623104494
157,418,87,413,82,1,2,0,0,0,1,1,0,0.8277227722772277,0.836,0.8318407960199004,0.8301507537688443,0.8318407960199004,0.8310008592573418
158,316,175,325,184,0,2,1,0,1,1,0,0,0.6435845213849287,0.632,0.6377396569122098,0.6442021803766106,0.6377396569122098,0.6410162873738795
159,393,107,393,107,1,2,1,0,0,1,1,0,0.786,0.786,0.786,0.786,0.786,0.786
160,490,8,492,10,0,1,1,0,0,0,0,0,0.9839357429718876,0.98,0.9819639278557115,0.9820359281437127,0.9819639278557115,0.982000001319761
161,338,89,411,162,1,1,1,0,1,0,1,0,0.7915690866510539,0.676,0.7292340884573894,0.7660764212488349,0.7292340884573894,0.7494506422321344
162,500,0,500,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
163,430,50,450,70,1,1,0,0,1,0,1,0,0.8958333333333334,0.86,0.8775510204081632,0.8823529411764707,0.8775510204081632,0.8800065480737751
164,472,23,477,28,0,2,0,1,1,1,1,1,0.9535353535353536,0.944,0.9487437185929648,0.9492537313432836,0.9487437185929648,0.9490000685212072
165,412,55,445,88,0,2,1,1,1,1,1,1,0.8822269807280514,0.824,0.8521199586349535,0.8615682478218781,0.8521199586349535,0.8570260131135783
166,434,52,448,66,0,1,1,1,0,0,1,1,0.8930041152263375,0.868,0.8803245436105477,0.8836291913214991,0.8803245436105477,0.8820030948288087
167,500,1,499,0,0,1,0,1,0,0,1,1,0.998003992015968,1.0,0.9990009990009989,0.998998998998999,0.9990009990009989,0.999000000001001
168,365,123,377,135,1,0,0,0,1,1,1,1,0.7479508196721312,0.73,0.7388663967611336,0.7450592885375493,0.7388663967611336,0.742012919941334
169,399,98,402,101,1,0,1,0,1,1,1,1,0.8028169014084507,0.798,0.8004012036108326,0.8015952143569293,0.8004012036108326,0.8010004449590608
170,445,37,463,55,0,0,0,1,0,1,1,0,0.9232365145228216,0.89,0.9063136456211813,0.9096267190569746,0.9063136456211813,0.9080030211726927
171,341,122,378,159,1,0,0,1,1,1,0,0,0.7365010799136069,0.682,0.7082035306334373,0.7290260366441659,0.7082035306334373,0.7191505504833058
172,418,34,466,82,0,0,1,1,0,1,1,0,0.9247787610619469,0.836,0.8781512605042016,0.8893129770992367,0.8781512605042016,0.8840351518314485
173,243,238,262,257,1,0,1,1,1,1,0,0,0.5051975051975052,0.486,0.4954128440366972,0.5142296368989205,0.4954128440366972,0.5051752197394744
174,418,34,466,82,0,0,1,1,0,1,1,1,0.9247787610619469,0.836,0.8781512605042016,0.8893129770992367,0.8781512605042016,0.8840351518314485
175,445,37,463,55,0,0,0,1,0,1,1,1,0.9232365145228216,0.89,0.9063136456211813,0.9096267190569746,0.9063136456211813,0.9080030211726927
176,399,98,402,101,1,0,1,0,1,1,1,0,0.8028169014084507,0.798,0.8004012036108326,0.8015952143569293,0.8004012036108326,0.8010004449590608
177,401,94,406,99,0,0,1,0,0,1,0,0,0.8101010101010101,0.802,0.8060301507537688,0.8079601990049752,0.8060301507537688,0.8070011539631737
178,365,123,377,135,1,0,0,0,1,1,1,0,0.7479508196721312,0.73,0.7388663967611336,0.7450592885375493,0.7388663967611336,0.742012919941334
179,444,43,457,56,0,0,0,0,0,1,0,0,0.9117043121149897,0.888,0.8996960486322189,0.9022704837117472,0.8996960486322189,0.9010018386781061
180,418,65,435,82,1,0,1,0,1,1,0,0,0.865424430641822,0.836,0.8504577822990844,0.8554572271386431,0.8504577822990844,0.8530073233368429
181,465,37,463,35,0,0,1,0,0,1,1,0,0.9262948207171314,0.93,0.9281437125748503,0.9278557114228457,0.9281437125748503,0.9280000223449169
182,391,93,407,109,1,0,0,0,1,1,0,0,0.8078512396694215,0.782,0.7947154471544715,0.8011811023622046,0.7947154471544715,0.7980130933569118
183,409,82,418,91,0,0,0,0,0,1,1,0,0.8329938900203666,0.818,0.8254288597376388,0.8285431119920713,0.8254288597376388,0.827002931614728
184,362,102,398,138,1,0,1,1,1,1,1,1,0.7801724137931034,0.724,0.7510373443983402,0.7683397683397682,0.7510373443983402,0.7600983506202986
185,400,85,415,100,1,0,0,1,1,1,1,1,0.8247422680412371,0.8,0.8121827411167513,0.8177339901477833,0.8121827411167513,0.8150094507460498
186,419,58,442,81,0,0,0,1,0,1,0,0,0.8784067085953878,0.838,0.857727737973388,0.8641251221896384,0.857727737973388,0.8610118771413122
187,400,85,415,100,1,0,0,1,1,1,1,0,0.8247422680412371,0.8,0.8121827411167513,0.8177339901477833,0.8121827411167513,0.8150094507460498
